tract,Neighborhood,City,State,Teenage Birth Rate,Race
6075025403,Bernal Heights, San Francisco, CA,0.6662,White
6075025702,Excelsior, San Francisco, CA,0.4461,White
6075017601,South of Market, San Francisco, CA,0.4106,White
6075030101,Inner Sunset, San Francisco, CA,0.26,White
6075021000,Mission District, San Francisco, CA,0.2542,White
6075060100,Presidio, San Francisco, CA,0.2448,White
6075026003,Excelsior, San Francisco, CA,0.2384,White
6075017000,The Castro, San Francisco, CA,0.2355,White
6075025900,Excelsior, San Francisco, CA,0.2092,White
6075047802,Richmond District, San Francisco, CA,0.1973,White
6075021200,Dolores Heights, San Francisco, CA,0.1804,White
6075020600,The Castro, San Francisco, CA,0.1278,White
6075026004,Excelsior, San Francisco, CA,0.1251,White
6075013101,Pacific Heights, San Francisco, CA,0.1239,White
6075035100,Sunset District, San Francisco, CA,0.1238,White
6075012800,Cow Hollow, San Francisco, CA,0.1234,White
6075020500,The Castro, San Francisco, CA,0.1185,White
6075025200,Bernal Heights, San Francisco, CA,0.116,White
6075020200,Mission Dolores, San Francisco, CA,0.116,White
6075035400,Parkside, San Francisco, CA,0.1152,White
6075016600,Haight-Ashbury, San Francisco, CA,0.1114,White
6075032601,Outer Sunset, San Francisco, CA,0.094,White
6075026302,Crocker-Amazon, San Francisco, CA,0.0929,White
6075030500,Midtown Terrace, San Francisco, CA,0.0921,White
6075025500,Cayuga Terrace, San Francisco, CA,0.0913,White
6075017902,Treasure Island, San Francisco, CA,0.086,White
6075012602,Marina District, San Francisco, CA,0.0852,White
6075026001,Excelsior, San Francisco, CA,0.0831,White
6075061500,South of Market, San Francisco, CA,0.0812,White
6075022702,Potrero Hill, San Francisco, CA,0.0783,White
6075021500,Noe Valley, San Francisco, CA,0.074,White
6075013400,Pacific Heights, San Francisco, CA,0.0729,White
6075047600,Central Richmond, San Francisco, CA,0.0723,White
6075042601,Central Richmond, San Francisco, CA,0.0718,White
6075032602,Outer Sunset, San Francisco, CA,0.0697,White
6075015700,Inner Richmond, San Francisco, CA,0.0614,White
6075010400,North Beach, San Francisco, CA,0.0554,White
6075017102,Ashbury Heights, San Francisco, CA,0.0542,White
6075015900,Fillmore District, San Francisco, CA,0.0534,White
6075030700,Miraloma, San Francisco, CA,0.0527,White
6075020700,Mission Dolores, San Francisco, CA,0.052,White
6075045100,Balboa Hollow, San Francisco, CA,0.051,White
6075045200,Balboa Hollow, San Francisco, CA,0.0482,White
6075032801,Parkside, San Francisco, CA,0.0467,White
6075021400,Noe Valley, San Francisco, CA,0.0454,White
6075013300,Presidio Heights, San Francisco, CA,0.0444,White
6075013500,Pacific Heights, San Francisco, CA,0.0442,White
6075047701,Central Richmond, San Francisco, CA,0.0425,White
6075032901,Sunset District, San Francisco, CA,0.0415,White
6075025401,Bernal Heights, San Francisco, CA,0.0414,White
6075035201,Sunset District, San Francisco, CA,0.0395,White
6075047801,Outer Richmond, San Francisco, CA,0.0382,White
6075042700,Central Richmond, San Francisco, CA,0.0369,White
6075021100,Dolores Heights, San Francisco, CA,0.036,White
6075016900,The Castro, San Francisco, CA,0.0337,White
6075021700,Glen Park, San Francisco, CA,0.0336,White
6075011100,Nob Hill, San Francisco, CA,0.0334,White
6075061400,Potrero Hill, San Francisco, CA,0.033,White
6075040100,Inner Richmond, San Francisco, CA,0.0329,White
6075047902,Outer Richmond, San Francisco, CA,0.0316,White
6075030400,Forest Hill, San Francisco, CA,0.0311,White
6075032802,Sunset District, San Francisco, CA,0.0279,White
6075021300,Noe Valley, San Francisco, CA,0.0264,White
6075033000,Parkside, San Francisco, CA,0.0242,White
6075030301,Inner Sunset, San Francisco, CA,0.0239,White
6075035202,Outer Sunset, San Francisco, CA,0.0234,White
6075025300,Bernal Heights, San Francisco, CA,0.0218,White
6075021600,Noe Valley, San Francisco, CA,0.0216,White
6075015200,Lower Pacific Heights, San Francisco, CA,0.021,White
6075022801,Mission District, San Francisco, CA,0.0202,White
6075016400,Western Addition, San Francisco, CA,0.0184,White
6075042602,Central Richmond, San Francisco, CA,0.0183,White
6075013102,Pacific Heights, San Francisco, CA,0.0163,White
6075047702,Richmond District, San Francisco, CA,0.0163,White
6075030302,Golden Gate Heights, San Francisco, CA,0.0157,White
6075030900,Ingleside Terraces, San Francisco, CA,0.0147,White
6075021800,Glen Park, San Francisco, CA,0.0135,White
6075032700,Outer Sunset, San Francisco, CA,0.0135,White
6075030800,West of Twin Peaks, San Francisco, CA,0.0121,White
6075013200,Pacific Heights, San Francisco, CA,0.0115,White
